Frame,Timecode,Delta RGB,Delta Frame
155,00:05.2,77.89864583,0.592213542
156,00:05.2,77.90628906,0.007643229
157,00:05.2,78.64645399,0.740164931
158,00:05.3,79.18046441,0.534010417
159,00:05.3,79.7597092,0.579244792
160,00:05.3,80.6209809,0.861271701
161,00:05.4,80.62624132,0.005260417
162,00:05.4,80.80230035,0.176059028
163,00:05.4,81.9584375,1.156137153
164,00:05.5,83.26347222,1.305034722
165,00:05.5,84.33186632,1.068394097
166,00:05.5,84.35290365,0.021037326
167,00:05.6,85.17486111,0.821957465
168,00:05.6,85.54269531,0.367834201
169,00:05.6,85.94351128,0.400815972
170,00:05.7,86.51392361,0.570412326
171,00:05.7,86.55269531,0.038771701
172,00:05.7,87.51218316,0.959487847
173,00:05.8,88.44698785,0.934804688
174,00:05.8,89.35297309,0.905985243
175,00:05.8,91.38109375,2.02812066
176,00:05.9,91.39446615,0.013372396
177,00:05.9,92.15088976,0.756423611
178,00:05.9,94.71623698,2.565347222
179,00:06.0,95.58421007,0.86797309
180,00:06.0,96.96792101,1.383710938
181,00:06.0,96.97536024,0.007439236
182,00:06.1,97.41138455,0.436024306
183,00:06.1,98.34200955,0.930625
184,00:06.1,98.97687066,0.634861111
185,00:06.2,99.50038628,0.523515625
186,00:06.2,99.48820313,-0.01218316
187,00:06.2,99.98226128,0.49405816
188,00:06.3,100.7112413,0.728980035
189,00:06.3,100.8746094,0.163368056
190,00:06.3,101.1332161,0.258606771
191,00:06.4,101.1644314,0.031215278
192,00:06.4,101.2579991,0.093567708
193,00:06.4,101.2958984,0.037899306
194,00:06.5,101.241684,-0.05421441
195,00:06.5,101.1573264,-0.084357639
196,00:06.5,101.1619705,0.004644097
197,00:06.6,101.150013,-0.011957465
198,00:06.6,100.8075868,-0.342426215
199,00:06.6,100.6275434,-0.180043403
200,00:06.7,100.7639757,0.136432292
201,00:06.7,100.8038411,0.039865451
202,00:06.7,100.4565582,-0.347282986
203,00:06.8,100.3928342,-0.063723958
204,00:06.8,100.2834028,-0.109431424
205,00:06.8,100.5476345,0.264231771
206,00:06.9,100.5613151,0.013680556
207,00:06.9,101.2111024,0.649787326
208,00:06.9,103.3320226,2.120920139
209,00:07.0,103.9480078,0.615985243
210,00:07.0,104.5817318,0.633723958
211,00:07.0,104.5843099,0.002578125
212,00:07.1,105.6290885,1.044778646
213,00:07.1,107.074987,1.445898438
214,00:07.1,108.2473134,1.172326389
215,00:07.2,109.13477,0.887456597
216,00:07.2,109.1336849,-0.001085069
217,00:07.2,110.0497656,0.916080729
218,00:07.3,110.593533,0.543767361
219,00:07.3,111.1297786,0.53624566
220,00:07.3,111.448138,0.318359375
221,00:07.4,111.5155469,0.067408854
222,00:07.4,111.8643403,0.348793403
223,00:07.4,112.0013542,0.137013889
224,00:07.5,112.0841319,0.082777778
225,00:07.5,112.2477951,0.163663194
226,00:07.5,112.2446701,-0.003125
227,00:07.6,112.486862,0.24219184
228,00:07.6,112.4774826,-0.00937934
229,00:07.6,112.6926432,0.21516059
230,00:07.7,112.9578038,0.26516059
231,00:07.7,112.9610894,0.00328559
232,00:07.7,113.3088368,0.347747396
233,00:07.8,113.4257682,0.116931424
234,00:07.8,113.6173915,0.191623264
235,00:07.8,113.9219488,0.304557292
236,00:07.9,113.9283898,0.006440972
237,00:07.9,114.2504774,0.322087674
238,00:07.9,114.2964019,0.045924479
239,00:08.0,114.2921007,-0.004301215
240,00:08.0,114.3563368,0.064236111
241,00:08.0,114.3563368,0
242,00:08.1,114.4524089,0.096072049
243,00:08.1,114.5518056,0.099396701
244,00:08.1,114.547487,-0.004318576
245,00:08.2,114.3940104,-0.153476562
246,00:08.2,114.3934852,-0.000525174
247,00:08.2,114.4032943,0.009809028
248,00:08.3,114.3835069,-0.019787326
249,00:08.3,114.3782639,-0.005243056
250,00:08.3,114.3078212,-0.070442708
251,00:08.4,114.3112153,0.003394097
252,00:08.4,114.382908,0.071692708
253,00:08.4,114.3850087,0.002100694
254,00:08.5,114.3951476,0.010138889
255,00:08.5,114.293125,-0.102022569
256,00:08.5,114.2865799,-0.006545139
257,00:08.6,114.1840712,-0.102508681
258,00:08.6,113.9913628,-0.192708333
259,00:08.6,113.9980078,0.006644965
260,00:08.7,113.9893099,-0.008697917
261,00:08.7,113.9853646,-0.003945313
262,00:08.7,113.7505816,-0.234782986
263,00:08.8,113.5421875,-0.208394097
264,00:08.8,113.4437326,-0.098454861
265,00:08.8,113.3602517,-0.083480903
266,00:08.9,113.3649696,0.004717882
267,00:08.9,113.140434,-0.22453559
268,00:08.9,113.0205252,-0.119908854
269,00:09.0,113.0270052,0.006480035
270,00:09.0,113.1187023,0.091697049
271,00:09.0,113.118138,-0.000564236
272,00:09.1,113.1006033,-0.017534722
273,00:09.1,113.1182769,0.017673611
274,00:09.1,113.1298655,0.011588542
275,00:09.2,113.1515885,0.02172309
276,00:09.2,113.1519227,0.000334201
277,00:09.2,113.1682248,0.016302083
278,00:09.3,113.3388455,0.17062066
279,00:09.3,113.6350564,0.296210938
280,00:09.3,113.9829123,0.347855903
281,00:09.4,113.9857422,0.002829861
282,00:09.4,114.4724089,0.486666667
283,00:09.4,115.0413368,0.568927951
284,00:09.5,115.5240625,0.482725694
285,00:09.5,116.1605599,0.636497396
286,00:09.5,116.1516233,-0.008936632
287,00:09.6,116.8259809,0.674357639
288,00:09.6,117.0642795,0.238298611
289,00:09.6,117.3863238,0.322044271
290,00:09.7,117.417921,0.031597222
291,00:09.7,117.4179774,5.64E-05
292,00:09.7,117.3701128,-0.047864583
293,00:09.8,117.4314366,0.061323785
294,00:09.8,117.5751432,0.143706597
295,00:09.8,117.694579,0.119435764
296,00:09.9,117.699184,0.004605035
297,00:09.9,117.7099826,0.010798611
298,00:09.9,117.8539714,0.143988715
299,00:10.0,117.9891146,0.135143229
300,00:10.0,118.2009592,0.211844618
301,00:10.0,118.2009592,0
302,00:10.1,118.4232552,0.222296007
303,00:10.1,118.6233984,0.200143229
304,00:10.1,118.834349,0.210950521
305,00:10.2,119.0524262,0.218077257
306,00:10.2,119.0482465,-0.004179687
307,00:10.2,119.3223438,0.274097222
308,00:10.3,119.6655382,0.343194444
309,00:10.3,120.2880686,0.622530382
310,00:10.3,120.9652561,0.6771875
311,00:10.4,120.9661328,0.000876736
312,00:10.4,121.8401432,0.874010417
313,00:10.4,122.5279948,0.687851563
314,00:10.5,123.0417622,0.513767361
315,00:10.5,123.942474,0.900711806
316,00:10.5,123.940651,-0.001822917
317,00:10.6,124.8610677,0.920416667
318,00:10.6,125.7874783,0.92641059
319,00:10.6,126.7859722,0.998493924
320,00:10.7,127.4976389,0.711666667
321,00:10.7,127.4884462,-0.009192708
322,00:10.7,128.1701215,0.681675347
323,00:10.8,128.9488455,0.778723958
324,00:10.8,129.5628255,0.613980035
325,00:10.8,129.9663585,0.403532986
326,00:10.9,129.9661632,-0.000195313
327,00:10.9,130.4066102,0.440447049
328,00:10.9,130.9629036,0.556293403
329,00:11.0,131.0555382,0.092634549
330,00:11.0,131.155599,0.100060764
331,00:11.0,131.1428602,-0.012738715
332,00:11.1,131.2122873,0.069427083
333,00:11.1,131.1707899,-0.041497396
334,00:11.1,131.0154948,-0.155295139
335,00:11.2,131.1003689,0.084874132
336,00:11.2,131.0967969,-0.003572049
337,00:11.2,131.432691,0.335894097
338,00:11.3,131.7570747,0.324383681
339,00:11.3,132.2125391,0.45546441
340,00:11.3,132.3225477,0.110008681
341,00:11.4,132.3303689,0.007821181
342,00:11.4,132.8353863,0.505017361
343,00:11.4,133.7078819,0.87249566
344,00:11.5,134.7209766,1.013094618
345,00:11.5,135.9044531,1.183476563
346,00:11.5,135.9009332,-0.003519965
347,00:11.6,137.332066,1.431132813
348,00:11.6,138.709401,1.377335069
349,00:11.6,140.2425,1.533098958
350,00:11.7,141.7971484,1.554648437
351,00:11.7,141.7974653,0.00031684
352,00:11.7,143.6411198,1.843654514
353,00:11.8,145.650191,2.009071181
354,00:11.8,147.5543403,1.904149306
355,00:11.8,149.3134505,1.759110243
356,00:11.9,149.3088455,-0.004605035
357,00:11.9,151.0208594,1.712013889
358,00:11.9,154.1476997,3.126840278
359,00:12.0,156.0336936,1.885993924
360,00:12.0,157.8455729,1.81187934
361,00:12.0,157.8357639,-0.009809028
362,00:12.1,159.4004297,1.564665799
363,00:12.1,160.8432205,1.442790799
364,00:12.1,161.9810764,1.137855903
365,00:12.2,162.9823785,1.001302083
366,00:12.2,162.9831771,0.000798611
367,00:12.2,164.0014236,1.018246528
368,00:12.3,165.1372179,1.135794271
369,00:12.3,166.8138325,1.676614583
370,00:12.3,168.7380078,1.924175347
371,00:12.4,168.7353299,-0.002677951
372,00:12.4,170.8868967,2.15156684
373,00:12.4,173.0880686,2.201171875
374,00:12.5,175.3694705,2.28140191
375,00:12.5,177.8292274,2.459756944
376,00:12.5,177.8274349,-0.001792535
377,00:12.6,180.4123785,2.584943576
378,00:12.6,183.0604514,2.648072917
379,00:12.6,185.8364453,2.775993924
380,00:12.7,188.430434,2.593988715
381,00:12.7,188.4457769,0.015342882
382,00:12.7,191.2336241,2.787847222
383,00:12.8,194.0318446,2.798220486
384,00:12.8,197.2997656,3.267921007
385,00:12.8,200.6763281,3.3765625
386,00:12.9,200.6731814,-0.003146701
387,00:12.9,204.2159418,3.542760417
388,00:12.9,210.2679731,6.05203125
389,00:13.0,213.2608637,2.992890625
390,00:13.0,216.2967057,3.035842014
391,00:13.0,216.296454,-0.000251736
392,00:13.1,219.5965191,3.300065104
393,00:13.1,223.0630599,3.466540799
394,00:13.1,226.1637977,3.100737847
395,00:13.2,228.910217,2.746419271
396,00:13.2,228.9095964,-0.00062066
397,00:13.2,231.5318924,2.622296007
398,00:13.3,233.1596788,1.627786458
399,00:13.3,234.2140061,1.054327257
400,00:13.3,234.5357943,0.321788194
401,00:13.4,234.5383637,0.002569444
402,00:13.4,234.5996181,0.06125434
403,00:13.4,234.1635547,-0.436063368
404,00:13.5,233.3838411,-0.779713542
405,00:13.5,233.1988238,-0.185017361
406,00:13.5,233.2036328,0.004809028
407,00:13.6,233.4245313,0.220898438
408,00:13.6,233.0511806,-0.373350694
409,00:13.6,233.2408507,0.189670139
410,00:13.7,233.8053689,0.564518229
411,00:13.7,233.8049957,-0.000373264
412,00:13.7,234.0141406,0.209144965
413,00:13.8,233.391059,-0.623081597
414,00:13.8,232.4187413,-0.972317708
415,00:13.8,231.1507031,-1.268038194
416,00:13.9,231.1463976,-0.004305556
417,00:13.9,229.4186068,-1.727790799
418,00:13.9,224.3892144,-5.029392361
419,00:14.0,220.7216493,-3.667565104
420,00:14.0,216.5527517,-4.168897569
421,00:14.0,216.5532205,0.00046875
422,00:14.1,212.5722266,-3.980993924
423,00:14.1,208.0511545,-4.521072049
424,00:14.1,203.2483507,-4.802803819
425,00:14.2,198.5841276,-4.66422309
426,00:14.2,198.577717,-0.00641059
427,00:14.2,194.2919922,-4.285724826
428,00:14.3,190.0166363,-4.275355903
429,00:14.3,184.9965842,-5.020052083
430,00:14.3,180.2733898,-4.723194444
431,00:14.4,180.2713932,-0.001996528
432,00:14.4,175.528776,-4.742617188
433,00:14.4,170.7166189,-4.812157118
434,00:14.5,166.3036979,-4.412921007
435,00:14.5,162.3424132,-3.961284722
436,00:14.5,162.3423741,-3.91E-05
437,00:14.6,158.67477,-3.667604167
438,00:14.6,154.92977,-3.745
439,00:14.6,151.1365148,-3.793255208
440,00:14.7,148.7382813,-2.398233507
441,00:14.7,148.7381771,-0.000104167
442,00:14.7,147.8481901,-0.889986979
443,00:14.8,146.4821311,-1.366059028
444,00:14.8,144.5031337,-1.978997396
445,00:14.8,143.7122049,-0.790928819
446,00:14.9,143.701875,-0.010329861
447,00:14.9,143.0585286,-0.643346354
448,00:14.9,140.5744444,-2.484084201
449,00:15.0,139.893776,-0.680668403
450,00:15.0,139.7192882,-0.174487847
451,00:15.0,139.6875651,-0.03172309
452,00:15.1,139.4470747,-0.240490451
453,00:15.1,139.2857465,-0.161328125
454,00:15.1,139.243112,-0.042634549
455,00:15.2,138.8777127,-0.365399306
456,00:15.2,138.884349,0.006636285
457,00:15.2,138.260178,-0.624171007
458,00:15.3,138.2201432,-0.040034722
459,00:15.3,138.293355,0.073211806
460,00:15.3,138.2772526,-0.016102431
461,00:15.4,138.2761328,-0.001119792
462,00:15.4,138.0259288,-0.250203993
463,00:15.4,137.590447,-0.435481771
464,00:15.5,137.1888976,-0.401549479
465,00:15.5,136.7745009,-0.414396701
466,00:15.5,136.7767231,0.002222222
467,00:15.6,136.6311892,-0.145533854
468,00:15.6,136.878112,0.246922743
469,00:15.6,136.9439106,0.065798611
470,00:15.7,136.6278906,-0.316019965
471,00:15.7,136.6256771,-0.002213542
472,00:15.7,136.3458984,-0.279778646
473,00:15.8,136.6543316,0.30843316
474,00:15.8,136.6733247,0.018993056
475,00:15.8,136.8125651,0.139240451
476,00:15.9,136.7989583,-0.013606771
477,00:15.9,137.4114583,0.6125
478,00:15.9,138.7261675,1.314709201
479,00:16.0,139.3317448,0.605577257
480,00:16.0,139.7198828,0.388138021
481,00:16.0,139.7203993,0.000516493
482,00:16.1,140.0992578,0.378858507
483,00:16.1,140.4197483,0.320490451
484,00:16.1,140.5666233,0.146875
485,00:16.2,140.7905035,0.223880208
486,00:16.2,140.7833941,-0.007109375
487,00:16.2,141.1857161,0.402322049
488,00:16.3,141.3412196,0.155503472
489,00:16.3,141.9727344,0.631514757
490,00:16.3,142.410842,0.438107639
491,00:16.4,142.4080208,-0.002821181
492,00:16.4,142.9883854,0.580364583
493,00:16.4,143.4903038,0.501918403
494,00:16.5,143.7648177,0.274513889
495,00:16.5,144.5575955,0.792777778
496,00:16.5,144.5468273,-0.010768229
497,00:16.6,145.2975868,0.750759549
498,00:16.6,145.5630512,0.26546441
499,00:16.6,145.8833594,0.32030816
500,00:16.7,146.1471528,0.263793403
501,00:16.7,146.1474392,0.000286458
502,00:16.7,146.4927691,0.345329861
503,00:16.8,146.600842,0.108072917
504,00:16.8,146.9985938,0.397751736
505,00:16.8,147.1926649,0.194071181
506,00:16.9,147.1877908,-0.004874132
507,00:16.9,147.2260026,0.038211806
508,00:16.9,147.5302604,0.304257812
509,00:17.0,147.7292925,0.199032118
510,00:17.0,147.9854601,0.256167535
511,00:17.0,147.9754948,-0.009965278
512,00:17.1,148.4648698,0.489375
513,00:17.1,148.7611198,0.29625
514,00:17.1,149.0750391,0.313919271
515,00:17.2,149.1443533,0.069314236
516,00:17.2,149.1168142,-0.027539063
517,00:17.2,149.094822,-0.021992187
518,00:17.3,149.4408811,0.346059028
519,00:17.3,149.563533,0.12265191
520,00:17.3,149.0811024,-0.482430556
521,00:17.4,149.0589323,-0.022170139
522,00:17.4,148.7614757,-0.297456597
523,00:17.4,148.1815799,-0.579895833
524,00:17.5,147.7580382,-0.423541667
525,00:17.5,146.6704384,-1.087599826
526,00:17.5,146.6652214,-0.005217014
527,00:17.6,145.9942188,-0.671002604
528,00:17.6,145.1673698,-0.826848958
529,00:17.6,144.1451563,-1.022213542
530,00:17.7,143.0379427,-1.107213542
531,00:17.7,143.0277865,-0.01015625
532,00:17.7,142.7548698,-0.272916667
533,00:17.8,142.5907292,-0.164140625
534,00:17.8,142.5845616,-0.006167535
535,00:17.8,142.7962457,0.211684028
536,00:17.9,142.7657118,-0.030533854
537,00:17.9,143.0543056,0.28859375
538,00:17.9,142.3828255,-0.671480035
539,00:18.0,142.2081424,-0.17468316
540,00:18.0,140.6275521,-1.580590278
541,00:18.0,140.6271571,-0.000394965
542,00:18.1,140.7425651,0.115407986
543,00:18.1,139.2411545,-1.50141059
544,00:18.1,135.9744358,-3.26671875
545,00:18.2,133.0961762,-2.878259549
546,00:18.2,133.0609549,-0.035221354
547,00:18.2,130.6115885,-2.449366319
548,00:18.3,128.1643837,-2.447204861
549,00:18.3,126.9867839,-1.177599826
550,00:18.3,124.5586458,-2.428138021
551,00:18.4,124.5553472,-0.003298611
552,00:18.4,123.0505859,-1.504761285
553,00:18.4,120.7860851,-2.264500868
554,00:18.5,118.5906988,-2.195386285
555,00:18.5,115.5075,-3.083198785
556,00:18.5,115.464809,-0.042690972
557,00:18.6,111.3708898,-4.093919271
558,00:18.6,108.1130425,-3.257847222
559,00:18.6,105.8193576,-2.293684896
560,00:18.7,102.7466623,-3.072695312
561,00:18.7,102.7391536,-0.007508681
562,00:18.7,99.82935764,-2.909796007
563,00:18.8,97.12388455,-2.70547309
564,00:18.8,95.48221788,-1.641666667
565,00:18.8,92.77184028,-2.710377604
566,00:18.9,92.70388455,-0.067955729
567,00:18.9,91.96895399,-0.734930556
568,00:18.9,88.83398003,-3.134973958
569,00:19.0,86.71317708,-2.120802951
570,00:19.0,84.30728733,-2.405889757
571,00:19.0,84.28763455,-0.019652778
572,00:19.1,82.77796875,-1.509665799
573,00:19.1,82.56249566,-0.21547309
574,00:19.1,81.76626736,-0.796228299
575,00:19.2,81.32015191,-0.446115451
576,00:19.2,81.30597656,-0.014175347
577,00:19.2,81.76421007,0.458233507
578,00:19.3,82.12825955,0.364049479
579,00:19.3,82.46240017,0.334140625
580,00:19.3,82.53259983,0.070199653
581,00:19.4,82.52994792,-0.00265191
582,00:19.4,82.44739149,-0.082556424
583,00:19.4,83.18532986,0.737938368
584,00:19.5,84.08167969,0.896349826
585,00:19.5,84.80157118,0.719891493
586,00:19.5,84.80103733,-0.000533854
587,00:19.6,85.0443099,0.243272569
588,00:19.6,84.4340408,-0.610269097
589,00:19.6,84.12358073,-0.310460069
590,00:19.7,83.81548611,-0.308094618
591,00:19.7,83.81944444,0.003958333
592,00:19.7,83.58488281,-0.234561632
593,00:19.8,83.17415799,-0.410724826
594,00:19.8,82.27884549,-0.8953125
595,00:19.8,81.85241319,-0.426432292
596,00:19.9,81.84340712,-0.009006076
597,00:19.9,82.08610243,0.242695313
598,00:19.9,81.56373264,-0.522369792
599,00:20.0,81.50282986,-0.060902778
600,00:20.0,81.05058594,-0.452243924
601,00:20.0,81.05058594,0
602,00:20.1,80.58720486,-0.463381076
603,00:20.1,80.57496528,-0.012239583
604,00:20.1,80.66824219,0.09327691
605,00:20.2,80.77153646,0.103294271
606,00:20.2,80.76615017,-0.005386285
607,00:20.2,80.8519401,0.085789931
608,00:20.3,80.63352865,-0.218411458
609,00:20.3,80.38103733,-0.252491319
610,00:20.3,80.54906684,0.168029514
611,00:20.4,80.5322526,-0.016814236
612,00:20.4,80.62351128,0.091258681
613,00:20.4,80.62743056,0.003919271
614,00:20.5,80.48523003,-0.142200521
615,00:20.5,80.37721788,-0.108012153
616,00:20.5,80.36083767,-0.016380208
617,00:20.6,80.41480903,0.053971354
618,00:20.6,80.92927517,0.514466146
619,00:20.6,81.52667535,0.597400174
620,00:20.7,82.14708767,0.620412326
621,00:20.7,82.14910156,0.002013889
622,00:20.7,82.29794705,0.148845486
623,00:20.8,82.51158854,0.213641493
624,00:20.8,82.84510851,0.333519965
625,00:20.8,83.18643229,0.341323785
626,00:20.9,83.18816406,0.001731771
627,00:20.9,83.72551649,0.537352431
628,00:20.9,85.31863715,1.59312066
629,00:21.0,85.51463108,0.195993924
630,00:21.0,85.54798611,0.033355035
631,00:21.0,85.53915365,-0.008832465
632,00:21.1,85.7724783,0.233324653
633,00:21.1,85.62096354,-0.151514757
634,00:21.1,85.13224826,-0.488715278
635,00:21.2,84.56665365,-0.565594618
636,00:21.2,84.56792969,0.001276042
637,00:21.2,84.09440104,-0.473528646
638,00:21.3,83.45924045,-0.63516059
639,00:21.3,82.90974392,-0.549496528
640,00:21.3,82.33944878,-0.570295139
641,00:21.4,82.3378559,-0.001592882
642,00:21.4,82.51792101,0.180065104
643,00:21.4,82.77014757,0.252226562
644,00:21.5,83.21720052,0.447052951
645,00:21.5,84.40349392,1.186293403
646,00:21.5,84.40186198,-0.001631944
647,00:21.6,84.91692708,0.515065104
648,00:21.6,85.64826389,0.731336806
649,00:21.6,86.38690972,0.738645833
650,00:21.7,86.23717014,-0.149739583
651,00:21.7,86.23335503,-0.003815104
652,00:21.7,85.75850694,-0.47484809
653,00:21.8,85.70046875,-0.058038194
654,00:21.8,85.70532118,0.004852431
655,00:21.8,86.49150174,0.786180556
656,00:21.9,86.48941406,-0.002087674
657,00:21.9,87.12407552,0.634661458
658,00:21.9,86.67172309,-0.452352431
659,00:22.0,86.89332031,0.221597222
660,00:22.0,87.50851997,0.615199653
661,00:22.0,87.5047092,-0.003810764
662,00:22.1,87.31811632,-0.186592882
663,00:22.1,86.4477908,-0.870325521
664,00:22.1,85.35118056,-1.096610243
665,00:22.2,84.68829861,-0.662881944
666,00:22.2,84.66207899,-0.026219618
667,00:22.2,84.30914063,-0.352938368
668,00:22.3,83.36921007,-0.939930556
669,00:22.3,83.29309896,-0.076111111
670,00:22.3,83.78042969,0.487330729
671,00:22.4,83.7799349,-0.000494792
672,00:22.4,83.95467882,0.174743924
673,00:22.4,83.9696224,0.014943576
674,00:22.5,83.81384983,-0.155772569
675,00:22.5,83.10038628,-0.713463542
676,00:22.5,83.09657552,-0.003810764
677,00:22.6,82.14651042,-0.950065104
678,00:22.6,81.09768229,-1.048828125
679,00:22.6,80.36588108,-0.731801215
680,00:22.7,79.78642361,-0.579457465
681,00:22.7,79.79073785,0.004314236
682,00:22.7,79.23007378,-0.560664063
683,00:22.8,79.26403646,0.033962674
684,00:22.8,79.30503038,0.040993924
